,data_representations,K1,B,factors,regularization,iterations,alpha,precision_at_k,map_at_k,ndcg_at_k,number_of_skills
69,Raw,,,3,0.03,30,2,0.5088055728557841,0.4011621764818871,0.4917147684697971,735
70,Raw,,,3,0.03,45,1,0.509507938096811,0.4037097444007352,0.4920873443594581,735
71,Raw,,,3,0.03,45,2,0.5088055728557841,0.4011797666314035,0.4917271757272082,735
72,Raw,,,4,0.005,15,1,0.5221778106813576,0.4212033537107591,0.5074864115162903,735
73,Raw,,,4,0.005,15,2,0.52217801994025,0.4186070769081424,0.5087940178687982,735
74,Raw,,,4,0.005,30,1,0.5220603713530515,0.42108790907540994,0.5074263794690326,735
75,Raw,,,4,0.005,30,2,0.5227643248154665,0.41925042970417997,0.5096152369234852,735
76,Raw,,,4,0.005,45,1,0.5220603713530515,0.42108790907540994,0.5074263794690326,735
77,Raw,,,4,0.005,45,2,0.5225296521929048,0.4191287220917446,0.509462355602574,735
78,Raw,,,4,0.01,15,1,0.5221778106813576,0.4212033537107591,0.5074864115162903,735
79,Raw,,,4,0.01,15,2,0.52217801994025,0.4186502862939244,0.5088134728727598,735
80,Raw,,,4,0.01,30,1,0.5220603713530515,0.42108790907540994,0.5074263794690326,735
81,Raw,,,4,0.01,30,2,0.5227643248154665,0.4192292095450288,0.5096073518983762,735
82,Raw,,,4,0.01,45,1,0.5220603713530515,0.42108790907540994,0.5074263794690326,735
83,Raw,,,4,0.01,45,2,0.522529789468425,0.41920257161387003,0.5095284010610189,735
84,Raw,,,4,0.02,15,1,0.522294906700093,0.4212939730416303,0.5076305214813714,735
85,Raw,,,4,0.02,15,2,0.5222952532345057,0.4187667164793202,0.5088907785738013,735
86,Raw,,,4,0.02,30,1,0.5221776046473071,0.421130237117738,0.507495800144965,735
87,Raw,,,4,0.02,30,2,0.5226470915212109,0.4191233894392086,0.5095379312224437,735
88,Raw,,,4,0.02,45,1,0.5220603713530515,0.42108790907540994,0.5074263794690326,735
89,Raw,,,4,0.02,45,2,0.522529789468425,0.41920257161387003,0.5095284010610189,735
90,Raw,,,4,0.03,15,1,0.5224123465121893,0.4213903148337124,0.5076927995993172,735
91,Raw,,,4,0.03,15,2,0.5222952532345057,0.41878435316362345,0.5089032186546447,735
92,Raw,,,4,0.03,30,1,0.522294906700093,0.42119883870085156,0.5075571942374093,735
93,Raw,,,4,0.03,30,2,0.5226470915212109,0.41910747431984524,0.5095300461973349,735
94,Raw,,,4,0.03,45,1,0.5221776734058374,0.4211565106585235,0.507487773561477,735
95,Raw,,,4,0.03,45,2,0.522529789468425,0.41920257161387003,0.5095284010610189,735
96,Raw,,,5,0.005,15,1,0.5323786975107565,0.43032771114428875,0.5210869143450124,735
97,Raw,,,5,0.005,15,2,0.5327315003533235,0.4273130836240452,0.5204505639630984,735
98,Raw,,,5,0.005,30,1,0.532964384686909,0.43070814245966843,0.5212533091480369,735
99,Raw,,,5,0.005,30,2,0.5334340764657358,0.4275104447774624,0.5207712859268578,735
100,Raw,,,5,0.005,45,1,0.5328472199096433,0.43065848903487175,0.5210635323541354,735
101,Raw,,,5,0.005,45,2,0.533199884428265,0.4275281282434218,0.5206445493739504,735
102,Raw,,,5,0.01,15,1,0.5323786975107565,0.4302923442123701,0.5210619681882018,735
103,Raw,,,5,0.01,15,2,0.532848596372059,0.42735189393271267,0.520532576036166,735
104,Raw,,,5,0.01,30,1,0.532964384686909,0.4306951858275254,0.521257682350513,735
105,Raw,,,5,0.01,30,2,0.5334340764657358,0.42752827008940536,0.5207950325376054,735
106,Raw,,,5,0.01,45,1,0.5328472199096433,0.43065848903487175,0.5210635323541354,735
107,Raw,,,5,0.01,45,2,0.533199884428265,0.4275281282434218,0.5206445493739504,735
108,Raw,,,5,0.02,15,1,0.5323786975107565,0.43036602532053403,0.5211195098611687,735
109,Raw,,,5,0.02,15,2,0.5329656923907943,0.42736341625457985,0.5206009134885439,735
110,Raw,,,5,0.02,30,1,0.5330818244990053,0.4308109794321628,0.5213389300608375,735
111,Raw,,,5,0.02,30,2,0.5334340764657358,0.42752827008940536,0.5207950325376054,735
112,Raw,,,5,0.02,45,1,0.5329646597217396,0.43079727572208465,0.5211492102650278,735
113,Raw,,,5,0.02,45,2,0.533199884428265,0.4275281282434218,0.5206445493739504,735
114,Raw,,,5,0.03,15,1,0.5323786975107565,0.43038385063247697,0.5211209984237353,735
115,Raw,,,5,0.03,15,2,0.532848596372059,0.4273439644420246,0.5205662712755988,735
116,Raw,,,5,0.03,30,1,0.5330818244990053,0.4308585848155885,0.5213592223433576,735
117,Raw,,,5,0.03,30,2,0.5333169804470004,0.4275070499302542,0.5207254277219489,735
118,Raw,,,5,0.03,45,1,0.5329646597217396,0.43079727572208465,0.5211492102650278,735
119,Raw,,,5,0.03,45,2,0.533199884428265,0.4275635437048811,0.52069172931562,735
120,Raw,,,6,0.005,15,1,0.543289176418623,0.43631924129172334,0.52861578206384,735
121,Raw,,,6,0.005,15,2,0.5404673219663984,0.43323030448986666,0.5273769794804745,735
122,Raw,,,6,0.005,30,1,0.5425858440418032,0.4357002385052038,0.5280238283260796,735
123,Raw,,,6,0.005,30,2,0.5407035085690036,0.4335091226161599,0.5270689293263405,735
124,Raw,,,6,0.005,45,1,0.5421171850935783,0.43562006548106247,0.5278590615676307,735
125,Raw,,,6,0.005,45,2,0.5410555525673743,0.43354171310527434,0.5271635709962986,735
126,Raw,,,6,0.01,15,1,0.5434062724373583,0.4363616816100258,0.5286853868794964,735
127,Raw,,,6,0.01,15,2,0.540350225947663,0.43327486664693254,0.5274055164326656,735
128,Raw,,,6,0.01,30,1,0.5425858440418032,0.4357002385052038,0.5280238283260796,735
129,Raw,,,6,0.01,30,2,0.5408208106217895,0.4335355078404343,0.5271486230562761,735
130,Raw,,,6,0.01,45,1,0.5421171850935783,0.43562006548106247,0.5278590615676307,735
131,Raw,,,6,0.01,45,2,0.5410555525673743,0.43354171310527434,0.5271635709962986,735
132,Raw,,,6,0.02,15,1,0.543406135161838,0.43628700126098663,0.528669586118182,735
133,Raw,,,6,0.02,15,2,0.5401160339101923,0.43307343389638386,0.5272114104163387,735
134,Raw,,,6,0.02,30,1,0.5425858440418032,0.43575333743262246,0.5280723078652438,735
135,Raw,,,6,0.02,30,2,0.5408208106217895,0.4336107821413859,0.5272236608683226,735
136,Raw,,,6,0.02,45,1,0.5422342811123138,0.43567998396914936,0.5279599431296871,735
137,Raw,,,6,0.02,45,2,0.5409381127552779,0.43349517866658305,0.5271058479340873,735
138,Raw,,,6,0.03,15,1,0.5429372701795627,0.43614683681058874,0.5284595546704367,735
139,Raw,,,6,0.03,15,2,0.5401158966346721,0.43307003754816,0.5271766110934964,735
140,Raw,,,6,0.03,30,1,0.5425858440418032,0.4357356539666631,0.5280598347868384,735
141,Raw,,,6,0.03,30,2,0.5408208106217895,0.4336107821413859,0.5272236608683226,735
142,Raw,,,6,0.03,45,1,0.5421169790595277,0.43570167240384716,0.527934811958453,735
143,Raw,,,6,0.03,45,2,0.5409381127552779,0.43349517866658305,0.5271058479340873,735
144,Normalized,,,1,0.005,15,1,0.4550819336126102,0.35140429473448825,0.4380578312895539,735
145,Normalized,,,1,0.005,15,2,0.4567234762975313,0.354490118402344,0.44126865833850637,735
146,Normalized,,,1,0.005,30,1,0.4550819336126102,0.35140429473448825,0.4380578312895539,735
147,Normalized,,,1,0.005,30,2,0.4567234762975313,0.354490118402344,0.44126865833850637,735
148,Normalized,,,1,0.005,45,1,0.4550819336126102,0.35140429473448825,0.4380578312895539,735
149,Normalized,,,1,0.005,45,2,0.4567234762975313,0.354490118402344,0.44126865833850637,735
150,Normalized,,,1,0.01,15,1,0.4550819336126102,0.35140429473448825,0.4380578312895539,735
151,Normalized,,,1,0.01,15,2,0.4567234762975313,0.354490118402344,0.44126865833850637,735
152,Normalized,,,1,0.01,30,1,0.4550819336126102,0.35140429473448825,0.4380578312895539,735
153,Normalized,,,1,0.01,30,2,0.4567234762975313,0.354490118402344,0.44126865833850637,735
154,Normalized,,,1,0.01,45,1,0.4550819336126102,0.35140429473448825,0.4380578312895539,735
155,Normalized,,,1,0.01,45,2,0.4567234762975313,0.354490118402344,0.44126865833850637,735
156,Normalized,,,1,0.02,15,1,0.4550819336126102,0.35140429473448825,0.4380578312895539,735
157,Normalized,,,1,0.02,15,2,0.4567234762975313,0.354490118402344,0.44126865833850637,735
158,Normalized,,,1,0.02,30,1,0.4550819336126102,0.35140429473448825,0.4380578312895539,735
159,Normalized,,,1,0.02,30,2,0.4567234762975313,0.354490118402344,0.44126865833850637,735
160,Normalized,,,1,0.02,45,1,0.4550819336126102,0.35140429473448825,0.4380578312895539,735
161,Normalized,,,1,0.02,45,2,0.4567234762975313,0.354490118402344,0.44126865833850637,735
162,Normalized,,,1,0.03,15,1,0.45531667547749244,0.3517436294129507,0.43825407308492437,735
163,Normalized,,,1,0.03,15,2,0.4567234762975313,0.354490118402344,0.44126865833850637,735
164,Normalized,,,1,0.03,30,1,0.45519923566539616,0.35148872745216636,0.438127068797476,735
165,Normalized,,,1,0.03,30,2,0.4567234762975313,0.354490118402344,0.44126865833850637,735
166,Normalized,,,1,0.03,45,1,0.45519923566539616,0.35148872745216636,0.438127068797476,735
167,Normalized,,,1,0.03,45,2,0.4567234762975313,0.354490118402344,0.44126865833850637,735
168,Normalized,,,2,0.005,15,1,0.45073804267565604,0.35005622995135616,0.436404983220095,735
169,Normalized,,,2,0.005,15,2,0.4833529266712982,0.3806737886280544,0.4681495688368121,735
170,Normalized,,,2,0.005,30,1,0.4502675249861621,0.3493499384034557,0.4357381742097484,735
171,Normalized,,,2,0.005,30,2,0.48300108886852533,0.38058605709251975,0.46797181633821455,735
172,Normalized,,,2,0.005,45,1,0.4573135698385859,0.35527192314839023,0.4426345900059818,735
173,Normalized,,,2,0.005,45,2,0.48300108886852533,0.38053213633446575,0.46792418346391484,735
174,Normalized,,,2,0.01,15,1,0.45097292229984864,0.3503202049873805,0.43647677816817304,735
175,Normalized,,,2,0.01,15,2,0.4833529266712982,0.3807658549994635,0.46821826020608714,735
176,Normalized,,,2,0.01,30,1,0.44909236914856965,0.3474411911294009,0.43398532151867136,735
177,Normalized,,,2,0.01,30,2,0.48311818488726066,0.38064971756997334,0.468041421153871,735
178,Normalized,,,2,0.01,45,1,0.4492092584077817,0.3476763683230496,0.4345732551831857,735
179,Normalized,,,2,0.01,45,2,0.48300108886852533,0.380549726483982,0.4679476167948371,735
180,Normalized,,,2,0.02,15,1,0.45273355452064107,0.35225679397194065,0.43831243376770324,735
181,Normalized,,,2,0.02,15,2,0.4838222727224548,0.38111992789156746,0.46855957397273623,735
182,Normalized,,,2,0.02,30,1,0.45014712443745575,0.34897369134020684,0.4350655930468778,735
183,Normalized,,,2,0.02,30,2,0.483469954012348,0.3808301761785894,0.46823463443581936,735
184,Normalized,,,2,0.02,45,1,0.45108677980651646,0.3486719544769751,0.4352500621105565,735
185,Normalized,,,2,0.02,45,2,0.4833528579936126,0.38074519917432265,0.4681575716419359,735
186,Normalized,,,2,0.03,15,1,0.4537890679299533,0.3532953148356771,0.4397313975952823,735
187,Normalized,,,2,0.03,15,2,0.4839395060167104,0.3812077389561724,0.4686059698896113,735
188,Normalized,,,2,0.03,30,1,0.4519061758536993,0.3492866384772668,0.43592951413685616,735
189,Normalized,,,2,0.03,30,2,0.4835873249043668,0.38102105923994,0.4683601686949711,735
190,Normalized,,,2,0.03,45,1,0.4522591141178953,0.3499440868468657,0.43624918435456744,735
191,Normalized,,,2,0.03,45,2,0.4834702288856314,0.3808326508241521,0.46817640141676636,735
192,Normalized,,,3,0.005,15,1,0.46364238015410014,0.3659802648962495,0.45544687398333794,735
193,Normalized,,,3,0.005,15,2,0.5038753746253718,0.40393647986247466,0.4909325654928242,735
194,Normalized,,,3,0.005,30,1,0.46188731633633673,0.36433357774489894,0.4555135761077689,735
195,Normalized,,,3,0.005,30,2,0.5045784322096107,0.40452588532555733,0.4915520057890129,735
196,Normalized,,,3,0.005,45,1,0.461537752328505,0.3622944428907685,0.45393742126798325,735
197,Normalized,,,3,0.005,45,2,0.5043439652988566,0.40432561494158736,0.4913535929976506,735
198,Normalized,,,3,0.01,15,1,0.4642285471891615,0.36640695606968,0.4559367529803497,735
199,Normalized,,,3,0.01,15,2,0.5038753746253718,0.403966188715713,0.49096542247034,735
200,Normalized,,,3,0.01,30,1,0.46200468755144986,0.3641043002347328,0.4554717806941856,735
201,Normalized,,,3,0.01,30,2,0.5044613361908754,0.40445515146171995,0.4914667283527903,735
202,Normalized,,,3,0.01,45,1,0.4615374774552216,0.3623304739189054,0.453986369776484,735
203,Normalized,,,3,0.01,45,2,0.504461061317592,0.4044331388131,0.49146657447608444,735
204,Normalized,,,3,0.02,15,1,0.46610620707324646,0.36856502052969287,0.45782195693604927,735
205,Normalized,,,3,0.02,15,2,0.5038753746253718,0.4041228445942389,0.4910901804756146,735
206,Normalized,,,3,0.02,30,1,0.46329597533485467,0.3649919875196635,0.4561470507653748,735
207,Normalized,,,3,0.02,30,2,0.5046958031016295,0.4046057179371617,0.4915818178138637,735
208,Normalized,,,3,0.02,45,1,0.4617711185361534,0.36271482090149265,0.4541076035872556,735
209,Normalized,,,3,0.02,45,2,0.5045781573363273,0.4044995484536799,0.4915686027998962,735
210,Normalized,,,3,0.03,15,1,0.46528509270388724,0.36838564274305513,0.45754253139399037,735
211,Normalized,,,3,0.03,15,2,0.504227143588912,0.40438494527931307,0.49136298359891556,735
212,Normalized,,,3,0.03,30,1,0.463530511730179,0.36522145372916015,0.4563962367738189,735
213,Normalized,,,3,0.03,30,2,0.5045780194961722,0.40461276237848215,0.4915542286766003,735
214,Normalized,,,3,0.03,45,1,0.4614188682623338,0.36278650715369243,0.4542162154305334,735
215,Normalized,,,3,0.03,45,2,0.5046951844349852,0.40466802635703464,0.49172160028956446,735
216,Normalized,,,4,0.005,15,1,0.46564463309100396,0.3654944225782296,0.46056256300552434,735
217,Normalized,,,4,0.005,15,2,0.5046941505526948,0.4020374800767709,0.4943792708021192,735
218,Normalized,,,4,0.005,30,1,0.4654113335468808,0.3637146639675245,0.4593700479862709,735
219,Normalized,,,4,0.005,30,2,0.5059857104670538,0.4027499993629003,0.49414742488783414,735
220,Normalized,,,4,0.005,45,1,0.4654111944159089,0.3640979243198166,0.45990524307420655,735
221,Normalized,,,4,0.005,45,2,0.5057502117741224,0.40268851333457967,0.49412331007458066,735
222,Normalized,,,4,0.01,15,1,0.4658793055520185,0.3656552670381915,0.4607438571979414,735
223,Normalized,,,4,0.01,15,2,0.5046944943460558,0.402031335655561,0.4943083282250149,735
224,Normalized,,,4,0.01,30,1,0.4659977757783199,0.36416830955144464,0.4598127130504017,735
225,Normalized,,,4,0.01,30,2,0.5058685458504838,0.40278722903499675,0.4941979221924683,735
226,Normalized,,,4,0.01,45,1,0.4655284964686949,0.3640336348970251,0.45987485806680245,735
227,Normalized,,,4,0.01,45,2,0.5057500741763592,0.4026612380659335,0.49412082365898335,735
228,Normalized,,,4,0.02,15,1,0.46716921679060236,0.36680415587950793,0.46185714570161246,735
229,Normalized,,,4,0.02,15,2,0.5044603713893585,0.40189230816095034,0.4940169036594419,735
230,Normalized,,,4,0.02,30,1,0.466584286122952,0.36487781384232165,0.46029508852238105,735
231,Normalized,,,4,0.02,30,2,0.5059859167425026,0.4031322278517452,0.4943359042631178,735
232,Normalized,,,4,0.02,45,1,0.46564545480882236,0.36418266201492744,0.45988721519758685,735
233,Normalized,,,4,0.02,45,2,0.5056328408821036,0.402511201936332,0.4939808261186099,735
234,Normalized,,,4,0.03,15,1,0.46752139806449317,0.3674682296078036,0.462508004251123,735
235,Normalized,,,4,0.03,15,2,0.5043438942786659,0.4016671592795384,0.493807725796554,735
236,Normalized,,,4,0.03,30,1,0.46728796172849785,0.3657033171130284,0.46098965383310286,735
237,Normalized,,,4,0.03,30,2,0.5065725646848979,0.4035586135923981,0.49479343870999665,735
238,Normalized,,,4,0.03,45,1,0.46646636346722536,0.3650530234820649,0.4607349636617629,735
239,Normalized,,,4,0.03,45,2,0.5064540242522432,0.4030953404522892,0.4946585615876562,735
240,Normalized,,,5,0.005,15,1,0.4542638471274607,0.35471281296073764,0.45156928229024257,735
241,Normalized,,,5,0.005,15,2,0.5075092665791686,0.4040180797727945,0.49934456870402383,735
242,Normalized,,,5,0.005,30,1,0.4518027029243806,0.3531018156375865,0.44893812114468135,735
243,Normalized,,,5,0.005,30,2,0.5061037711263273,0.40322002436052634,0.49841377052029284,735
244,Normalized,,,5,0.005,45,1,0.44992284187463094,0.34914178488231307,0.44506854068909607,735
245,Normalized,,,5,0.005,45,2,0.5054009208665293,0.4021019508795464,0.49745102683893405,735
246,Normalized,,,5,0.01,15,1,0.45496807272139816,0.3556891614056602,0.4526036063125388,735
247,Normalized,,,5,0.01,15,2,0.5076266371489444,0.4040694951517961,0.4994510548488537,735
248,Normalized,,,5,0.01,30,1,0.4523892135112623,0.35352412830071944,0.44918630161396217,735
249,Normalized,,,5,0.01,30,2,0.506455265216584,0.4032409883278823,0.49843447265068885,735
250,Normalized,,,5,0.01,45,1,0.45074471444440983,0.35007154666359136,0.4459327768375488,735
251,Normalized,,,5,0.01,45,2,0.5063393378533095,0.4029352816392997,0.49820345058393095,735
252,Normalized,,,5,0.02,15,1,0.45485145890052925,0.35583541460589474,0.45245408738506576,735
253,Normalized,,,5,0.02,15,2,0.5076263618725734,0.4040680547970828,0.4991948781510535,735
254,Normalized,,,5,0.02,30,1,0.4523884576498003,0.3537951247811667,0.4493840115937452,735
255,Normalized,,,5,0.02,30,2,0.5071585967873705,0.403803103163974,0.4989831767061805,735
256,Normalized,,,5,0.02,45,1,0.45132936741758944,0.3507657131332076,0.44662654769968835,735
257,Normalized,,,5,0.02,45,2,0.5066909692190864,0.4032515596746002,0.49834367301107124,735
258,Normalized,,,5,0.03,15,1,0.45520398412847685,0.35634919073119853,0.45301954985943754,735
259,Normalized,,,5,0.03,15,2,0.5079786114212044,0.40442180231478925,0.49938120540198955,735
260,Normalized,,,5,0.03,30,1,0.452741050668698,0.3537621777238841,0.4494022728401861,735
261,Normalized,,,5,0.03,30,2,0.507510640624194,0.40430693158954983,0.499435675697289,735
262,Normalized,,,5,0.03,45,1,0.4514471502970069,0.3511939113343153,0.4472843580926204,735
263,Normalized,,,5,0.03,45,2,0.5072772052549277,0.403963852225574,0.4990072327620796,735
264,Normalized,,,6,0.005,15,1,0.44874995419116576,0.3436477798079269,0.441683538996296,735
265,Normalized,,,6,0.005,15,2,0.511387318718762,0.40738650378829355,0.5024250488245092,735
266,Normalized,,,6,0.005,30,1,0.4522673683887904,0.34603811001386,0.4438882208746314,735
267,Normalized,,,6,0.005,30,2,0.5112684338462733,0.40749855070802077,0.5023329816969236,735
268,Normalized,,,6,0.005,45,1,0.45133122100225964,0.3436131463147794,0.4421135226407408,735
269,Normalized,,,6,0.005,45,2,0.5131434123851022,0.40737904879182985,0.502540906081058,735
270,Normalized,,,6,0.01,15,1,0.44921758087271435,0.3439539765631317,0.4422984857537144,735
271,Normalized,,,6,0.01,15,2,0.5115043454951768,0.40750947932895965,0.5026230029527683,735
272,Normalized,,,6,0.01,30,1,0.45144584130684395,0.34445767094249463,0.44282246429999395,735
273,Normalized,,,6,0.01,30,2,0.5107990876335695,0.4071022679894476,0.501941985277516,735
274,Normalized,,,6,0.01,45,1,0.45168257717251004,0.3441431572438377,0.4427718334281711,735
275,Normalized,,,6,0.01,45,2,0.5131437565007061,0.40746389517439746,0.5026395794095142,735
276,Normalized,,,6,0.02,15,1,0.45027357599525153,0.34460807954594347,0.44300976295993044,735
277,Normalized,,,6,0.02,15,2,0.5115042077358665,0.40760178184599083,0.5027504772756031,735
278,Normalized,,,6,0.02,30,1,0.45226654401204114,0.34556305825417033,0.4438324220028309,735
279,Normalized,,,6,0.02,30,2,0.5113852544270903,0.4077415230867759,0.50256441513135,735
280,Normalized,,,6,0.02,45,1,0.45179884841069934,0.34493070118074615,0.4434840638942198,735
281,Normalized,,,6,0.02,45,2,0.513963839974624,0.40822521232609255,0.503186033375762,735
282,Normalized,,,6,0.03,15,1,0.45109441589441507,0.34548011878875834,0.4437932391379943,735
283,Normalized,,,6,0.03,15,2,0.5115040706218934,0.40783827921238414,0.5028635103206551,735
284,Normalized,,,6,0.03,30,1,0.45109297204328563,0.3446108257671229,0.44322190576058534,735
285,Normalized,,,6,0.03,30,2,0.512088585997877,0.40825085112157017,0.503151829422929,735
286,Normalized,,,6,0.03,45,1,0.45308779605958344,0.34612056477930625,0.4448899870476789,735
287,Normalized,,,6,0.03,45,2,0.5140807979925086,0.4082573099672063,0.5030862966945054,735
288,tfidf,,,1,0.005,15,1,0.35608419199718805,0.25738806982916884,0.33723394024364917,735
289,tfidf,,,1,0.005,15,2,0.38822354126220526,0.2878297850330062,0.37004004520006384,735
290,tfidf,,,1,0.005,30,1,0.3559669587029325,0.25741824399727403,0.33718348916009544,735
291,tfidf,,,1,0.005,30,2,0.38869247443922744,0.2880996263028475,0.3703255920690478,735
292,tfidf,,,1,0.005,45,1,0.3560840547216678,0.25746068431557645,0.3372530939757518,735
