"person";"skill";"category"
"12";"Windows NT/2000/XP";"Betriebssystem"
"12";"MAC OS X";"Betriebssystem"
"12";"Windows 7";"Betriebssystem"
"12";"Windows 8";"Betriebssystem"
"12";"iOS";"Betriebssystem"
"12";"Android";"Betriebssystem"
"12";"PostgreSQL";"Datenbank"
"12";"MySQL";"Datenbank"
"12";"LDAP";"Datenbank"
"12";"Microsoft Access";"Datenbank"
"12";"Java";"Programmiersprachen / Scriptsprachen"
"12";"C#";"Programmiersprachen / Scriptsprachen"
"12";"Cobol";"Programmiersprachen / Scriptsprachen"
"12";"Assembler";"Programmiersprachen / Scriptsprachen"
"12";"Entwurfsmuster";"Entwicklung"
"12";"Java EE";"Java Frameworks"
"12";"JUnit";"Java Frameworks"
"12";"Hibernate";"Java Frameworks"
"12";"JDBC";"Java Frameworks"
"12";"NetBeans";"Umgebungen"
"12";"IntelliJ(Idea)";"Umgebungen"
"12";"Node.js";"JavaScript Frameworks"
"12";"Angular Generalist";"JavaScript Frameworks"
"12";"REST";"Standards"
"12";"SSL";"Standards"
"12";"TCP/IP";"Standards"
"12";"Tomcat";"Applikationsserver"
"12";"Apache";"Applikationsserver"
"12";"Teamviewer";"Dienste"
"12";"UML";"Technik/Tools"
"12";"PowerShell";"Technik/Tools"
"12";"HTML";"Webentwicklung"
"12";"HTML5";"Webentwicklung"
"12";"JSON";"Webentwicklung"
"12";"Team Foundation Server (TF Server)";"CI/CD, Build- und Versionskontrollsysteme"
"12";"Jenkins";"CI/CD, Build- und Versionskontrollsysteme"
"12";"GIT";"CI/CD, Build- und Versionskontrollsysteme"
"12";"Microsoft Visio";"Produkterfahrung"
"12";"OpenOffice / LibreOffice";"Produkterfahrung"
"12";"Adobe Flash";"Grafik/Design"
"12";"GIMP";"Grafik/Design"
"12";"Unit Tests (Komponententests)";"Methoden und Praktiken"
"12";"Test Driven Development (TDD)";"Methoden und Praktiken"
"12";"Behaviour Driven Development (BDD)";"Methoden und Praktiken"
"12";"Design Pattern";"Software Craftmanship"
"12";"Dependency Injection";"Methoden und Praktiken"
"12";"Objektrelationale Abbildung (ORM)";"Methoden und Praktiken"
"12";"Continuous Integration (CI)";"Methoden und Praktiken"
"12";"Statische Codeanalyse";"Methoden und Praktiken"
"12";"V-Modell";"Projektmanagement / Vorgehensmodelle"
"12";"V-Modell XT";"Projektmanagement / Vorgehensmodelle"
"12";"Wasserfallmodel";"Projektmanagement / Vorgehensmodelle"
"12";"KANBAN";"Projektmanagement / Vorgehensmodelle"
"12";"Englisch";"Sprachen"
"12";"Spanisch";"Sprachen"
"12";"Französisch";"Sprachen"
"12";"OAuth";"Dienste"
"12";"Implementierung";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"12";"Qualitätsmanagement";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"12";"Clean Code";"Software Craftmanship"
"12";"Log4J";"Java Frameworks"
"12";"Spring";"Java Frameworks"
"12";"Spring Boot";"Java Frameworks"
"12";"Agile Methoden";"Methoden und Praktiken"
"12";"Microsoft Office";"Produkterfahrung"
"12";"Microsoft Teams";"Produkterfahrung"
"12";"Gitlab";"CI/CD, Build- und Versionskontrollsysteme"
"12";"GIT";"CI/CD, Build- und Versionskontrollsysteme"
"12";"TeamCity";"CI/CD, Build- und Versionskontrollsysteme"
"12";"Docker";"Technik/Tools"
"12";"Mockito";"Sonstige"
"12";"Windows 10";"Betriebssystem"
"12";"JavaScript";"Programmiersprachen / Scriptsprachen"
"12";"SQL";"Datenbank"
"12";"SCRUM";"Projektmanagement / Vorgehensmodelle"
"12";"JIRA";"Issue Management"
"12";"Maven";"CI/CD, Build- und Versionskontrollsysteme"
"12";"Visual Studio";"Umgebungen"
"13";"Windows NT/2000/XP";"Betriebssystem"
"13";"Windows 7";"Betriebssystem"
"13";"Windows 8";"Betriebssystem"
"13";"iOS";"Betriebssystem"
"13";"Android";"Betriebssystem"
"13";"Microsoft SQL Server";"Datenbank"
"13";"PostgreSQL";"Datenbank"
"13";"Java";"Programmiersprachen / Scriptsprachen"
"13";"C#";"Programmiersprachen / Scriptsprachen"
"13";"Python";"Programmiersprachen / Scriptsprachen"
"13";"Ruby";"Programmiersprachen / Scriptsprachen"
"13";"Visual Objects";"Programmiersprachen / Scriptsprachen"
"13";"T-SQL";"Programmiersprachen / Scriptsprachen"
"13";"Entwurfsmuster";"Entwicklung"
"13";".NET Framework";".NET Frameworks und Tools"
"13";"Windows Presentation Foundation (WPF)";".NET Frameworks und Tools"
"13";"ASP.NET";".NET Frameworks und Tools"
"13";"ASP.NET MVC-Framework";".NET Frameworks und Tools"
"13";"ASP.NET WebAPI";".NET Frameworks und Tools"
"13";"ADO.NET";".NET Frameworks und Tools"
"13";"Entity Framework";".NET Frameworks und Tools"
"13";"LINQ";".NET Frameworks und Tools"
"13";"NUnit";".NET Frameworks und Tools"
"13";"IntelliJ(Idea)";"Umgebungen"
"13";"knockout";"JavaScript Frameworks"
"13";"XML/XSL";"Standards"
"13";"REST";"Standards"
"13";"Internet Information Services (IIS)";"Applikationsserver"
"13";"Open SSH";"Dienste"
"13";"Active Directory";"Dienste"
"13";"Teamviewer";"Dienste"
"13";"FileZilla";"Dienste"
"13";"UML";"Technik/Tools"
"13";"PowerShell";"Technik/Tools"
"13";"HTML";"Webentwicklung"
"13";"HTML5";"Webentwicklung"
"13";"Ajax";"Webentwicklung"
"13";"jQuery";"Webentwicklung"
"13";"JSON";"Webentwicklung"
"13";"Team Foundation Server (TF Server)";"CI/CD, Build- und Versionskontrollsysteme"
"13";"TeamCity";"CI/CD, Build- und Versionskontrollsysteme"
"13";"GIT";"CI/CD, Build- und Versionskontrollsysteme"
"13";"Microsoft Visio";"Produkterfahrung"
"13";"Aspektorientierte Programmierung (AOP)";"Methoden und Praktiken"
"13";"Unit Tests (Komponententests)";"Methoden und Praktiken"
"13";"Test Driven Development (TDD)";"Methoden und Praktiken"
"13";"Behaviour Driven Development (BDD)";"Methoden und Praktiken"
"13";"Design Pattern";"Software Craftmanship"
"13";"Dependency Injection";"Methoden und Praktiken"
"13";"Objektrelationale Abbildung (ORM)";"Methoden und Praktiken"
"13";"Continuous Integration (CI)";"Methoden und Praktiken"
"13";"Statische Codeanalyse";"Methoden und Praktiken"
"13";"Softwaredesign/-architektur";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"13";"Implementierung";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"13";"Softwaretests";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"13";"ITIL";"Projektmanagement / Vorgehensmodelle"
"13";"V-Modell";"Projektmanagement / Vorgehensmodelle"
"13";"MS Project";"Projektmanagement / Vorgehensmodelle"
"13";"Wasserfallmodel";"Projektmanagement / Vorgehensmodelle"
"13";"KANBAN";"Projektmanagement / Vorgehensmodelle"
"13";"BPMN";"BPM (Business Process Modelling)"
"13";"Englisch";"Sprachen"
"13";"Angular (2 und höher)";"Webentwicklung"
"13";"Azure DevOps";"CI/CD, Build- und Versionskontrollsysteme"
"13";"GraphQL";"Entwicklung"
"13";"mithril";"JavaScript Frameworks"
"13";"TypeScript";"JavaScript Frameworks"
"13";"JavaScript";"Programmiersprachen / Scriptsprachen"
"13";"CSS";"Webentwicklung"
"13";"SQL";"Datenbank"
"13";"JIRA";"Issue Management"
"13";"Subversion";"CI/CD, Build- und Versionskontrollsysteme"
"13";"Visual Studio";"Umgebungen"
"13";"React";"Webentwicklung"
"15";"Windows 7";"Betriebssystem"
"15";"Windows 8";"Betriebssystem"
"15";"MySQL";"Datenbank"
"15";"PhpStorm";"Umgebungen"
"15";"Node.js";"JavaScript Frameworks"
"15";"Angular Generalist";"JavaScript Frameworks"
"15";"REST";"Standards"
"15";"ftp-proxy";"Dienste"
"15";"Teamviewer";"Dienste"
"15";"FileZilla";"Dienste"
"15";"UML";"Technik/Tools"
"15";"HTML";"Webentwicklung"
"15";"HTML5";"Webentwicklung"
"15";"xHTML";"Webentwicklung"
"15";"Ajax";"Webentwicklung"
"15";"jQuery";"Webentwicklung"
"15";"JSON";"Webentwicklung"
"15";"TYPO3 Generalist";"TYPO3"
"15";"3D-Modellierung";"Grafik/Design"
"15";"Adobe Indesign";"Grafik/Design"
"15";"Design Pattern";"Software Craftmanship"
"15";"Englisch";"Sprachen"
"15";"Arabisch";"Sprachen"
"15";"Workbench";"Umgebungen"
"15";"IntelliJ(Idea)";"Umgebungen"
"15";"Test Driven Development (TDD)";"Methoden und Praktiken"
"15";"JavaScript";"Programmiersprachen / Scriptsprachen"
"15";"CSS";"Webentwicklung"
"15";"SCRUM";"Projektmanagement / Vorgehensmodelle"
"15";"Hybris";"SAP Commerce"
"15";"Visual Studio";"Umgebungen"
"16";"PhpStorm";"Umgebungen"
"16";"Angular Generalist";"JavaScript Frameworks"
"16";"XML/XSL";"Standards"
"16";"HTML";"Webentwicklung"
"16";"HTML5";"Webentwicklung"
"16";"jQuery";"Webentwicklung"
"16";"JSON";"Webentwicklung"
"16";"TYPO3 Generalist";"TYPO3"
"16";"GIT";"CI/CD, Build- und Versionskontrollsysteme"
"16";"Adobe Indesign";"Grafik/Design"
"16";"Englisch";"Sprachen"
"16";"Spanisch";"Sprachen"
"16";"Türkisch";"Sprachen"
"16";"Apache";"Applikationsserver"
"16";"Windows 10";"Betriebssystem"
"16";"WordPress";"CMS"
"16";"Teamviewer";"Dienste"
"16";"Mediengestalter Digital & Print - Fachrichtung Gestaltung & Technik";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"16";"Docker";"Technik/Tools"
"16";"Design Pattern";"Software Craftmanship"
"16";"Dokumentation";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"16";"Pimcore";"Umgebungen"
"16";"Vue.js";"Webentwicklung"
"16";"TypeScript";"JavaScript Frameworks"
"16";"JavaScript";"Programmiersprachen / Scriptsprachen"
"16";"CSS";"Webentwicklung"
"16";"SQL";"Datenbank"
"16";"SCRUM";"Projektmanagement / Vorgehensmodelle"
"16";"JIRA";"Issue Management"
"16";"PHP";"Webentwicklung"
"16";"Visual Studio";"Umgebungen"
"17";"Mediengestalter Digital & Print - Fachrichtung Gestaltung & Technik";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"18";"Mediengestalter Digital & Print - Fachrichtung Gestaltung & Technik";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"20";"Windows NT/2000/XP";"Betriebssystem"
"20";"Microsoft SQL Server";"Datenbank"
"20";"Oracle";"Datenbank"
"20";"Sybase";"Datenbank"
"20";"PostgreSQL";"Datenbank"
"20";"LDAP";"Datenbank"
"20";"DB2 / UDB";"Datenbank"
"20";"SQL-Scripte";"Datenbank"
"20";"Java";"Programmiersprachen / Scriptsprachen"
"20";"C/C++";"Programmiersprachen / Scriptsprachen"
"20";"VB/VBA";"Programmiersprachen / Scriptsprachen"
"20";"Assembler";"Programmiersprachen / Scriptsprachen"
"20";"PL/SQL";"Programmiersprachen / Scriptsprachen"
"20";"Swing";"Java Frameworks"
"20";"JUnit";"Java Frameworks"
"20";"TopLink";"Java Frameworks"
"20";"Log4J";"Java Frameworks"
"20";"Jakarta Commons";"Java Frameworks"
"20";"StyleReport";"Java Frameworks"
"20";"JDBC";"Java Frameworks"
"20";"Swing";"Java Frameworks"
"20";"JBuilder";"Umgebungen"
"20";"Ultra Edit";"Umgebungen"
"20";"Oracle Forms";"Umgebungen"
"20";"Tomcat";"Applikationsserver"
"20";"MFC/Windows-API";"Technik/Tools"
"20";"ShellScripting";"Technik/Tools"
"20";"Citrix";"Technik/Tools"
"20";"CVS";"CI/CD, Build- und Versionskontrollsysteme"
"20";"Perforce";"CI/CD, Build- und Versionskontrollsysteme"
"20";"Ant";"CI/CD, Build- und Versionskontrollsysteme"
"20";"Crystal Reports";"Produkterfahrung"
"20";"InstallShield";"Produkterfahrung"
"20";"Subversion";"CI/CD, Build- und Versionskontrollsysteme"
"20";"Visual Studio";"Umgebungen"
"21";"Spring Boot";"Java Frameworks"
"21";"Spring";"Java Frameworks"
"21";"Spring-JPA";"Java Frameworks"
"21";"Vue.js";"Webentwicklung"
"21";"JavaScript";"Programmiersprachen / Scriptsprachen"
"21";"Java";"Programmiersprachen / Scriptsprachen"
"21";"Java FX";"Java Frameworks"
"21";"JUnit";"Java Frameworks"
"21";"SCRUM";"Projektmanagement / Vorgehensmodelle"
"21";"nginx";"Applikationsserver"
"21";"Windows 10";"Betriebssystem"
"21";"Ubuntu";"Betriebssystem"
"21";"Windows";"Betriebssystem"
"21";"Android";"Betriebssystem"
"21";"Dienstleistungen";"Branchenerfahrung"
"21";"GIT";"CI/CD, Build- und Versionskontrollsysteme"
"21";"Github actions";"CI/CD, Build- und Versionskontrollsysteme"
"21";"Gitlab";"CI/CD, Build- und Versionskontrollsysteme"
"21";"Gitlab CI";"CI/CD, Build- und Versionskontrollsysteme"
"21";"Maven";"CI/CD, Build- und Versionskontrollsysteme"
"21";"Jenkins";"CI/CD, Build- und Versionskontrollsysteme"
"21";"DB2 / UDB";"Datenbank"
"21";"LDAP";"Datenbank"
"21";"Microsoft SQL Server";"Datenbank"
"21";"Microsoft SQL Server";"Datenbank"
"21";"MySQL";"Datenbank"
"21";"PostgreSQL";"Datenbank"
"21";"SQL";"Datenbank"
"21";"Active Directory";"Dienste"
"21";"DNS";"Dienste"
"21";"DHCP";"Dienste"
"21";"samba";"Dienste"
"21";"Open SSH";"Dienste"
"21";"OAuth";"Dienste"
"21";"FileZilla";"Dienste"
"21";"Teamviewer";"Dienste"
"21";"CI/CD Entwicklung";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"21";"CI/CD Entwicklung";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"21";"Dokumentation";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"21";"Grafik Design";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"21";"Hardware";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"21";"Implementierung";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"21";"Prototyping";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"21";"Softwaretests";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"21";"Softwaredesign/-architektur";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"21";"Usability-Tests";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"21";"User Experience";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"21";"Code Reviews";"Entwicklung"
"21";"Entwurfsmuster";"Entwicklung"
"21";"Microservices";"Entwicklung"
"21";"Terraform";"Entwicklung"
"21";"Softwarearchitektur";"Entwicklung"
"21";"Testautomatisierung";"Entwicklung"
"21";"Adobe Illustrator";"Grafik/Design"
"21";"Blender";"Grafik/Design"
"21";"GIMP";"Grafik/Design"
"21";"Responsive Webdesign";"Grafik/Design"
"21";"JIRA";"Issue Management"
"21";"Hibernate";"Java Frameworks"
"21";"Google Android";"Java Frameworks"
"21";"JDBC";"Java Frameworks"
"21";"Kotlin";"Java Frameworks"
"21";"Log4J";"Java Frameworks"
"21";"Phyton /Jython";"Java Frameworks"
"21";"Swing";"Java Frameworks"
"21";"Swing/AWT";"Java Frameworks"
"21";"lodash";"JavaScript Frameworks"
"21";"npm";"JavaScript Frameworks"
"21";"TypeScript";"JavaScript Frameworks"
"21";"Agile Methoden";"Methoden und Praktiken"
"21";"Continuous Integration (CI)";"Methoden und Praktiken"
"21";"Dependency Injection";"Methoden und Praktiken"
"21";"Test Driven Development (TDD)";"Methoden und Praktiken"
"21";"Unit Tests (Komponententests)";"Methoden und Praktiken"
"21";"Microsoft Teams";"Produkterfahrung"
"21";"Mural";"Produkterfahrung"
"21";"CSS";"Programmiersprachen / Scriptsprachen"
"21";"Markdown ";"Programmiersprachen / Scriptsprachen"
"21";"Sass/SCSS";"Programmiersprachen / Scriptsprachen"
"21";"TypeScript";"Programmiersprachen / Scriptsprachen"
"21";"Anforderungsmanagement";"Projektmanagement / Vorgehensmodelle"
"21";"KANBAN";"Projektmanagement / Vorgehensmodelle"
"21";"Clean Code";"Software Craftmanship"
"21";"Design Pattern";"Software Craftmanship"
"21";"Arch Linux";"Sonstige"
"21";"Keycloak";"Sonstige"
"21";"Less";"Sonstige"
"21";"Liquibase";"Sonstige"
"21";"Mockito";"Sonstige"
"21";"Sass";"Sonstige"
"21";"SonarQube";"Sonstige"
"21";"Deutsch";"Sprachen"
"21";"Englisch";"Sprachen"
"21";"REST";"Standards"
"21";"SOAP";"Standards"
"21";"Docker";"Technik/Tools"
"21";"Kubernetes";"Technik/Tools"
"21";"UML";"Technik/Tools"
"21";"WebServices";"Technik/Tools"
"21";"IntelliJ(Idea)";"Umgebungen"
"21";"Adobe Photoshop";"UX/UI Tools"
"21";"Adobe Illustrator";"UX/UI Tools"
"21";"Adobe XD";"UX/UI Tools"
"21";"Figma";"UX/UI Tools"
"21";"Ajax";"Webentwicklung"
"21";"AngularJS";"Webentwicklung"
"21";"Bootstrap";"Webentwicklung"
"21";"GitHub";"Webentwicklung"
"21";"HTML";"Webentwicklung"
"21";"HTML5";"Webentwicklung"
"21";"Jest";"Webentwicklung"
"21";"JSON";"Webentwicklung"
"21";"SVG";"Webentwicklung"
"21";"Web Security";"Webentwicklung"
"21";"Webpack";"Webentwicklung"
"21";"Tomcat";"Applikationsserver"
"21";"Quarkus";"Sonstige"
"21";"GraphQL";"Entwicklung"
"21";"Keycloak";"Sonstige"
"25";"Windows NT/2000/XP";"Betriebssystem"
"25";"SUSE Linux";"Betriebssystem"
"25";"Debian";"Betriebssystem"
"25";"MAC OS X";"Betriebssystem"
"25";"Windows Vista";"Betriebssystem"
"25";"Windows 7";"Betriebssystem"
"25";"iOS";"Betriebssystem"
"25";"MySQL";"Datenbank"
"25";"XML/XSL";"Standards"
"25";"SOAP";"Standards"
"25";"Apache";"Applikationsserver"
"25";"HTML";"Webentwicklung"
"25";"HTML5";"Webentwicklung"
"25";"xHTML";"Webentwicklung"
"25";"Ajax";"Webentwicklung"
"25";"jQuery";"Webentwicklung"
"25";"JSON";"Webentwicklung"
"25";"TYPO3 Generalist";"TYPO3"
"25";"TypoScript";"Programmiersprachen / Scriptsprachen"
"25";"Extensions";"TYPO3"
"25";"ExtBase";"TYPO3"
"25";"3D-Modellierung";"Grafik/Design"
"25";"Adobe Indesign";"Grafik/Design"
"25";"Softwaredesign/-architektur";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"25";"Englisch";"Sprachen"
"25";".NET Framework";".NET Frameworks und Tools"
"25";"Screendesign";"Grafik/Design"
"25";"Angular Generalist";"JavaScript Frameworks"
"25";"C#";"Programmiersprachen / Scriptsprachen"
"25";"GIT";"CI/CD, Build- und Versionskontrollsysteme"
"25";"Gitlab";"CI/CD, Build- und Versionskontrollsysteme"
"25";"Yii";"Webentwicklung"
"25";"Symfony";"PHP"
"25";"nginx";"Applikationsserver"
"25";"Windows 10";"Betriebssystem"
"25";"PCI-DSS ";"Branchenerfahrung"
"25";"Touristik";"Branchenerfahrung"
"25";"Jenkins";"CI/CD, Build- und Versionskontrollsysteme"
"25";"Azure";"Cloud Computing"
"25";"WordPress";"CMS"
"25";"PostgreSQL";"Datenbank"
"25";"FileZilla";"Dienste"
"25";"DynDNS";"Dienste"
"25";"Grunt";"JavaScript Frameworks"
"25";"Node.js";"JavaScript Frameworks"
"25";"npm";"JavaScript Frameworks"
"25";"Symfony";"PHP"
"25";"Symfony";"PHP"
"25";"C#";"Programmiersprachen / Scriptsprachen"
"25";"Google Analytics";"Sonstige"
"25";"Google Tag Manager";"Sonstige"
"25";"Raspberry Pi";"Sonstige"
"25";"Sass";"Sonstige"
"25";"YAML";"Sonstige"
"25";"REST";"Standards"
"25";"Docker";"Technik/Tools"
"25";"Fluid Templates";"TYPO3"
"25";"PhpStorm";"Umgebungen"
"25";"Ultra Edit";"Umgebungen"
"25";"Adobe Illustrator";"UX/UI Tools"
"25";"Adobe InDesign";"UX/UI Tools"
"25";"Adobe Photoshop";"UX/UI Tools"
"25";"Angular (2 und höher)";"Webentwicklung"
"25";"AngularJS";"Webentwicklung"
"25";"TypeScript";"JavaScript Frameworks"
"25";"JavaScript";"Programmiersprachen / Scriptsprachen"
"25";"CSS";"Webentwicklung"
"25";"SQL";"Datenbank"
"25";"TYPO3";"CMS"
"25";"MariaDB";"Datenbank"
"25";"Projektmanagement";"Projektmanagement / Vorgehensmodelle"
"25";"JIRA";"Issue Management"
"25";"PHP";"Webentwicklung"
"25";"SCSS";"Webentwicklung"
"25";"Web Components";"Webentwicklung"
"25";"Subversion";"CI/CD, Build- und Versionskontrollsysteme"
"25";"Visual Studio";"Umgebungen"
"25";"React";"Webentwicklung"
"26";"Windows NT/2000/XP";"Betriebssystem"
"26";"MAC OS X";"Betriebssystem"
"26";"Windows Vista";"Betriebssystem"
"26";"Windows 7";"Betriebssystem"
"26";"Windows 8";"Betriebssystem"
"26";"Windows Server 2003";"Betriebssystem"
"26";"Windows Phone 7";"Betriebssystem"
"26";"Microsoft SQL Server";"Datenbank"
"26";"PostgreSQL";"Datenbank"
"26";"MySQL";"Datenbank"
"26";"SQL-Scripte";"Datenbank"
"26";"Java";"Programmiersprachen / Scriptsprachen"
"26";"C/C++";"Programmiersprachen / Scriptsprachen"
"26";"C#";"Programmiersprachen / Scriptsprachen"
"26";"VB/VBA";"Programmiersprachen / Scriptsprachen"
"26";"Groovy";"Programmiersprachen / Scriptsprachen"
"26";"Assembler";"Programmiersprachen / Scriptsprachen"
"26";"T-SQL";"Programmiersprachen / Scriptsprachen"
"26";"Entwurfsmuster";"Entwicklung"
"26";"Access";"Entwicklung"
"26";"Swing";"Java Frameworks"
"26";"Google Android";"Java Frameworks"
"26";"Java EE";"Java Frameworks"
"26";"JUnit";"Java Frameworks"
"26";"Log4J";"Java Frameworks"
"26";"Spring";"Java Frameworks"
"26";"Swing";"Java Frameworks"
"26";"SWT";"Java Frameworks"
"26";"Eclipse";"Java Frameworks"
"26";"Windows Forms";".NET Frameworks und Tools"
"26";"Windows Presentation Foundation (WPF)";".NET Frameworks und Tools"
"26";"Windows Communication Foundation (WCF)";".NET Frameworks und Tools"
"26";"LINQ";".NET Frameworks und Tools"
"26";"NUnit";".NET Frameworks und Tools"
"26";"NetBeans";"Umgebungen"
"26";"IntelliJ(Idea)";"Umgebungen"
"26";"SharpDevelop";"Umgebungen"
"26";"XML/XSL";"Standards"
"26";"SOAP";"Standards"
"26";"TCP/IP";"Standards"
"26";"Bugzilla";"Issue Management"
"26";"Terminalserver";"Server"
"26";"JBoss";"Applikationsserver"
"26";"Tomcat";"Applikationsserver"
"26";"Apache";"Applikationsserver"
"26";"MFC/Windows-API";"Technik/Tools"
"26";"UML";"Technik/Tools"
"26";"ShellScripting";"Technik/Tools"
"26";"Mozilla FW";"Technik/Tools"
"26";"PowerShell";"Technik/Tools"
"26";"CVS";"CI/CD, Build- und Versionskontrollsysteme"
"26";"Ant";"CI/CD, Build- und Versionskontrollsysteme"
"26";"Jenkins";"CI/CD, Build- und Versionskontrollsysteme"
"26";"Mercurial";"CI/CD, Build- und Versionskontrollsysteme"
"26";"GIT";"CI/CD, Build- und Versionskontrollsysteme"
"26";"OpenOffice / LibreOffice";"Produkterfahrung"
"26";"Unit Tests (Komponententests)";"Methoden und Praktiken"
"26";"Test Driven Development (TDD)";"Methoden und Praktiken"
"26";"Behaviour Driven Development (BDD)";"Methoden und Praktiken"
"26";"Continuous Integration (CI)";"Methoden und Praktiken"
"26";"Softwaretests";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"26";"Englisch";"Sprachen"
"26";"Russisch";"Sprachen"
"26";"ISTQB - Foundation Level";"Zertifizierung"
"26";"B2B Accelerator Experience";"SAP Commerce"
"26";"Odata";"SAP Commerce"
"26";"WCMS";"SAP Commerce"
"26";"Solr";"SAP Commerce"
"26";"B2C Accelerator Experience";"SAP Commerce"
"26";"Payments";"SAP Commerce"
"26";"REST";"Standards"
"26";"JavaScript";"Programmiersprachen / Scriptsprachen"
"26";"Promotion / Drools Engine";"SAP Commerce"
"26";"SQL";"Datenbank"
"26";"SCRUM";"Projektmanagement / Vorgehensmodelle"
"26";"JIRA";"Issue Management"
"26";"Hybris";"SAP Commerce"
"26";"Maven";"CI/CD, Build- und Versionskontrollsysteme"
"26";"Subversion";"CI/CD, Build- und Versionskontrollsysteme"
"26";"Visual Studio";"Umgebungen"
"28";"Windows NT/2000/XP";"Betriebssystem"
"28";"SUSE Linux";"Betriebssystem"
"28";"Debian";"Betriebssystem"
"28";"Microsoft SQL Server";"Datenbank"
"28";"MySQL";"Datenbank"
"28";"LDAP";"Datenbank"
"28";"TCP/IP";"Standards"
"28";"Tomcat";"Applikationsserver"
"28";"Apache";"Applikationsserver"
"28";"Internet Information Services (IIS)";"Applikationsserver"
"28";"Postfix";"Dienste"
"28";"SendMail";"Dienste"
"28";"Open SSH";"Dienste"
"28";"samba";"Dienste"
"28";"WSUS";"Dienste"
"28";"Active Directory";"Dienste"
"28";"Englisch";"Sprachen"
"28";"Französisch";"Sprachen"
"28";"nginx";"Applikationsserver"
"28";"Apple Mac OS X Server";"Betriebssystem"
"28";"Windows 10";"Betriebssystem"
"28";"Windows 7";"Betriebssystem"
"28";"Windows 8";"Betriebssystem"
"28";"DHCP";"Dienste"
"28";"DNS";"Dienste"
"28";"Windows Printserver";"Dienste"
"28";"MS Exchange";"Dienste"
"32";"Windows NT/2000/XP";"Betriebssystem"
"32";"SUSE Linux";"Betriebssystem"
"32";"RedHat Linux";"Betriebssystem"
"32";"Debian";"Betriebssystem"
"32";"Windows Vista";"Betriebssystem"
"32";"Windows 7";"Betriebssystem"
"32";"Windows Server 2003";"Betriebssystem"
"32";"Windows Server 2008";"Betriebssystem"
"32";"Microsoft SQL Server";"Datenbank"
"32";"MySQL";"Datenbank"
"32";"SQL-Scripte";"Datenbank"
"32";"MongoDB";"Datenbank"
"32";"Java";"Programmiersprachen / Scriptsprachen"
"32";"C/C++";"Programmiersprachen / Scriptsprachen"
"32";"C#";"Programmiersprachen / Scriptsprachen"
"32";"Groovy";"Programmiersprachen / Scriptsprachen"
"32";"Assembler";"Programmiersprachen / Scriptsprachen"
"32";"Entwurfsmuster";"Entwicklung"
"32";"JSP";"Java Frameworks"
"32";"Java EE";"Java Frameworks"
"32";"Hibernate";"Java Frameworks"
"32";"JSF";"Java Frameworks"
"32";"Servlet/JSP";"Java Frameworks"
"32";"EJB 3";"Java Frameworks"
"32";"JDBC";"Java Frameworks"
"32";".NET Framework";".NET Frameworks und Tools"
"32";".NET Compact Framework";".NET Frameworks und Tools"
"32";"Windows Forms";".NET Frameworks und Tools"
"32";"Windows Presentation Foundation (WPF)";".NET Frameworks und Tools"
"32";"Silverlight";".NET Frameworks und Tools"
"32";"Windows Communication Foundation (WCF)";".NET Frameworks und Tools"
"32";"Windows Workflow Foundation (WF)";".NET Frameworks und Tools"
"32";"ASP.NET";".NET Frameworks und Tools"
"32";"ASP.NET MVC-Framework";".NET Frameworks und Tools"
"32";"ASP.NET WebAPI";".NET Frameworks und Tools"
"32";"ADO.NET";".NET Frameworks und Tools"
"32";"Entity Framework";".NET Frameworks und Tools"
"32";"LINQ";".NET Frameworks und Tools"
"32";"Microsoft Enterprise Library";".NET Frameworks und Tools"
"32";"Sharepoint Entwicklung";".NET Frameworks und Tools"
"32";"NHibernate";".NET Frameworks und Tools"
"32";"NUnit";".NET Frameworks und Tools"
"32";"DevExpress";".NET Frameworks und Tools"
"32";"Kendo UI";".NET Frameworks und Tools"
"32";"NetBeans";"Umgebungen"
"32";"Team Developer";"Umgebungen"
"32";"Ultra Edit";"Umgebungen"
"32";"Workbench";"Umgebungen"
"32";"IntelliJ(Idea)";"Umgebungen"
"32";"Node.js";"JavaScript Frameworks"
