factors,alpha,regularization,iterations,p_at_k_mean,map_at_k_mean,ndcg_at_k_mean
10,1.5,0.005,70,0.4029366686041563,0.29672772277227727,0.3896963134267422
10,1.5,0.01,70,0.4036775419093167,0.2970841584158416,0.39014012918386476
10,1.5,0.02,70,0.40357495504023355,0.2968151815181519,0.3898214527043141
20,0.5,0.005,70,0.34854998357688016,0.24466460396039605,0.3287928134099152
20,0.5,0.01,70,0.3447351784576346,0.241759900990099,0.32541232921511537
20,0.5,0.02,70,0.34981530596536514,0.2445111386138614,0.32994075998817124
20,1.0,0.005,70,0.3323284869105879,0.2284378437843784,0.31664511056902744
20,1.0,0.01,70,0.33285973351253145,0.2292249724972497,0.31701403797428224
20,1.0,0.02,70,0.33442805993196184,0.229525302530253,0.3176592218261713
20,1.5,0.005,70,0.34333790605615616,0.23769306930693068,0.3287079233305633
20,1.5,0.01,70,0.3421693344537713,0.23758250825082505,0.3276159113339662
20,1.5,0.02,70,0.34344318044707545,0.2378283828382838,0.3280655166773065
50,0.5,0.005,70,0.2375208437559141,0.1492025577557755,0.2197191590013038
50,0.5,0.01,70,0.23540307654905554,0.14782095709570953,0.21806315162515583
50,0.5,0.02,70,0.23435881688766755,0.1463308580858085,0.21786442560369895
50,1.0,0.005,70,0.22172167034317405,0.1353399339933993,0.2062251722054078
50,1.0,0.01,70,0.22277101549305736,0.1376606160616061,0.20773851755338174
50,1.0,0.02,70,0.22278408483303236,0.13762046204620457,0.20805133554684196
50,1.5,0.005,70,0.21282522247114596,0.12770517051705166,0.1953877724952748
50,1.5,0.01,70,0.2137774879227379,0.12862898789878985,0.1961486936785336
50,1.5,0.02,70,0.21462229185789958,0.12989383938393834,0.19764631402548555
70,0.5,0.005,70,0.18551928094509912,0.10528712871287127,0.17022847210040473
70,0.5,0.01,70,0.18976569757328024,0.10815511551155112,0.17348990546775023
70,0.5,0.02,70,0.19082730805555997,0.10805115511551153,0.1740871188777334
70,1.0,0.005,70,0.1843482720190407,0.09894389438943892,0.16553651339149217
70,1.0,0.01,70,0.18709845022197918,0.1009273927392739,0.16706488697111777
70,1.0,0.02,70,0.19035256407012702,0.10269306930693066,0.16993081856243267
70,1.5,0.005,70,0.17853920762635483,0.09733938393839381,0.16101151312778678
70,1.5,0.01,70,0.1778153562298949,0.09656655665566553,0.16031315040039862
70,1.5,0.02,70,0.17685414549118733,0.09575027502750272,0.15919870212152298
