,data_representations,K1,B,factors,regularization,iterations,precision_at_k,map_at_k
92,Normalized,,,8,0.005,30,0.44195493848161693,0.33623065389672985
93,Normalized,,,8,0.01,10,0.44721349404095667,0.34115419282168324
94,Normalized,,,8,0.01,15,0.44655460523411633,0.3383592467224064
95,Normalized,,,8,0.01,30,0.4465648612772786,0.34022750413322983
96,Normalized,,,8,0.02,10,0.44652111171229125,0.3396190258220743
97,Normalized,,,8,0.02,15,0.4501854172915841,0.3431013502214744
98,Normalized,,,8,0.02,30,0.45207923465242617,0.3444404522300913
99,Normalized,,,9,0.005,10,0.4423006857467152,0.33047219961800217
100,Normalized,,,9,0.005,15,0.44452078667727113,0.3327384658436611
101,Normalized,,,9,0.005,30,0.4420819161461237,0.3322461950807444
102,Normalized,,,9,0.01,10,0.4436103874781356,0.33255776871162074
103,Normalized,,,9,0.01,15,0.44087487126536773,0.33101060148680345
104,Normalized,,,9,0.01,30,0.4388165862993579,0.32904804057940584
105,Normalized,,,9,0.02,10,0.4444226185541966,0.3322347850712822
106,Normalized,,,9,0.02,15,0.44346657875846185,0.3309163093317161
107,Normalized,,,9,0.02,30,0.4360881265994333,0.327132760419117
108,Normalized,,,10,0.005,10,0.4380566373970306,0.3282373920867786
109,Normalized,,,10,0.005,15,0.4325401841062507,0.3219356571642548
110,Normalized,,,10,0.005,30,0.43474788317005525,0.32494567536105684
111,Normalized,,,10,0.01,10,0.4452057833912012,0.33429518290132343
112,Normalized,,,10,0.01,15,0.4360647213532259,0.32669768689141493
113,Normalized,,,10,0.01,30,0.4366306436639203,0.32488428135651837
114,Normalized,,,10,0.02,10,0.44158389847531987,0.332545597302349
115,Normalized,,,10,0.02,15,0.44122117243319237,0.33351754009900736
116,Normalized,,,10,0.02,30,0.4348637450967045,0.3252618289315457
117,Normalized,,,15,0.005,10,0.4238652400413841,0.31151375869174786
118,Normalized,,,15,0.005,15,0.42515195905966624,0.31060697187748393
